2026-01-31 13:18:47.679; PID: 23740; Copy x2 started
2026-01-31 13:18:47.745; PID: 24016; Counter value: 255
2026-01-31 13:18:48.752; PID: 24016; Counter value: 258
2026-01-31 13:18:49.687; PID: 23740; Copy x2 finished
2026-01-31 13:18:49.769; PID: 24016; Counter value: 130
2026-01-31 13:18:50.709; PID: 280; Copy +10 started
2026-01-31 13:18:50.711; PID: 280; Copy +10 finished
2026-01-31 13:18:50.712; PID: 16892; Copy x2 started
2026-01-31 13:18:50.784; PID: 24016; Counter value: 286
2026-01-31 13:18:52.715; PID: 16892; Copy x2 finished
